Nama_Ibu,Alamat,Kecamatan,Desa,Nomer_NIK,TB_Ibu,BB_Ibu,IMT,Usia_ibu,Pendidikan_Ibu,Pekerjaan_ibu,Pendidikan_AYAH,Pekerjaan_Ayah,Jumlah_PendapatanKeluarga,NominalGaji,Status_Pernikahan,UsiaPertamaMenikahIbu,Kepemilikan_KK,JumlahAnak,Nama_BADUTA,UsiaBaduta,JenisKelamin,PersalinanOleh,BB_Lahir,PanjangLahir,Riwayat_Imunisasi,RiwayatDiare_2mgguTerakhir,RiwayatISPA_2mgguTerakhir,Punya_AkteLahir,BB_Baduta,PB_Baduta,StatusGizi_Baduta,Baduta_Dapat_ASI_Ekslusif,Baduta_DapatMPASI,Baduta_DapatPMT,PMT_DihabiskanAtauTidak,AlasanMendapat_PMT,BadutaDitimbang_Minimal8x,Baduta_DapatZinc_saatDiare,PernahCacingan,PernahMinum_ObatCacing,Bumil_DapatFolat_Fe,Ibu_DapatKonseling_PromosiASI,Ibu_DapatKonseling_PromosiMPASI,Punya_Sal_AirBersih,Punya_Jamban,GunainJamban_BAB,Ada_SepticTank,IBU_CuciTanganSabun_SBLMMakan,IBU_CuciTanganSabun_SetelahBAB,Anak_CuciTanganSabun_SebelumMakan,Anak_CuciTanganSabun_SetelahBAB,Anak_GunakanAlasKakiSaatMAin,Ibu_DapatBantuanBeras,Kel_KonsumsiSayuran,Kel_KonsumsiBuahBuahan,AdaYAnKes_diRumahTinggal,CaraPergi_KePuskesmas,JarakRumahKeYANKES,IBU_PakaiKB,JenisKB,Kepemilikan_BPJS,KewajibanMendidikAnak,YangJagaAnak_SetiapHari,PAUD_SekitarRumah,IbuMenyekolahkanAnak_KePAUD,Ibu_DapatInformasi_Gizi,Status_Stunting
Fairleigh Jaggers,1 Bowman Terrace,Wisconsin,United States,3.60E+15,155,59,2,23,2,1,1,1,1,500000,1,21,1,1,Fairleigh Jaggers,16,1,1,3700,50,2,2,1,1,10,80,3,2,1,1,1,Penimbangan,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,800,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Eyde Howarth,16 Oneill Parkway,California,United States,3.60E+15,144,52,3,23,2,1,1,1,2,4000000,1,17,1,2,Eyde Howarth,21,2,1,3500,#NULL!,2,2,1,1,10,77.5,3,1,1,1,1,Penimbangan,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,200,1,Implan,2,1,1,1,1,1,Stunting
Alf Piddocke,519 7th Way,Colorado,United States,3.60E+15,150,75,3,25,4,2,4,1,1,2500000,1,20,1,2,Alf Piddocke,6,2,1,3350,50,1,2,1,1,73,66,3,1,1,1,2,tambah gizi,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,200,1,suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Austine Aubury,84 Hovde Crossing,Texas,United States,3.60E+15,157,48,2,35,4,2,3,1,1,2300000,1,23,1,2,Austine Aubury,15,2,1,2800,#NULL!,2,2,2,1,6.6,75,1,2,1,1,2,tambah gizi,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Terrye Gravy,4303 Vermont Park,New York,United States,3.60E+15,144,58,3,39,1,1,0,1,1,2400000,1,23,1,2,Terrye Gravy,0.4,1,1,3400,50,1,2,2,1,4.6,55,3,1,1,2,2,tidak dapat,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,2,tidak ada,1,1,1,1,2,1,Tidak Stunting
Gussi Scott,8116 Browning Pass,Delaware,United States,3.60E+15,152,45.5,2,22,3,1,2,1,1,3000000,1,19,1,1,Gussi Scott,19,1,1,2700,50,1,2,1,1,9.9,79,3,1,1,2,1,gizi lengkap,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Ches Pellissier,3093 Haas Circle,Arkansas,United States,3.60E+15,153,52,2,20,3,1,3,1,1,3000000,1,18,1,1,Ches Pellissier,11,1,1,3200,50,2,1,2,1,10,76,3,2,1,1,2,tidak rewel,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,100,2,tidak ada,2,1,1,1,2,1,Tidak Stunting
Mary Prys,4 Stang Avenue,Texas,United States,3.60E+15,148,55,2,30,2,1,2,1,1,2000000,1,20,1,2,Mary Prys,0.065,2,1,2800,48,1,2,2,2,2.8,48,3,1,0,2,2,tidak dapat,0,0,0,0,1,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,100,2,ASI,1,1,1,1,1,1,Tidak Stunting
Ario Rolfini,28 Hagan Plaza,Colorado,United States,3.60E+15,145,56,3,24,1,1,3,1,2,3500000,1,18,1,2,Ario Rolfini,7,1,1,3500,54,2,1,1,1,8,70,3,2,2,1,1,menambah gizi,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,500,1,suntik 3 ,1,1,1,1,1,2,Tidak Stunting
Ab Longden,14699 Huxley Circle,California,United States,3.60E+15,143,42,2,23,2,1,2,1,1,850000,1,17,1,2,Ab Longden,1,2,1,2200,42,2,1,2,2,4.5,45,3,1,0,2,2,tidak dapat,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,100,1,IUD,1,1,1,1,1,1,Stunting
Luella Snepp,03 Bowman Junction,California,United States,3.60E+15,154,45,2,19,2,1,2,1,1,500000,1,17,1,1,Luella Snepp,15,2,1,3100,#NULL!,2,2,1,2,10,74,3,2,2,1,2,gizi baik,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Babbette Jzak,4 Arkansas Parkway,Alabama,United States,3.60E+15,153,54,2,32,4,2,4,1,2,3000000,1,29,1,1,Babbette Jzak,21,1,1,2800,50,2,2,1,1,11,82,3,2,1,1,1,semua dapat,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,200,1,suntik 3 ,1,1,3,1,1,1,Tidak Stunting
Dael Gurnee,8644 Pearson Circle,New Jersey,United States,3.60E+15,151,50,2,35,1,1,1,1,1,1000000,1,18,1,2,Dael Gurnee,17,1,1,4000,47,1,2,2,2,11,80,3,2,1,1,1,semua dapat,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,1000,1,suntik,1,1,1,1,1,1,Tidak Stunting
Skippie Spriddle,31320 Sutteridge Center,Pennsylvania,United States,3.60E+15,148,50,2,29,2,1,3,1,1,1000000,1,20,1,2,Skippie Spriddle,24,1,1,2900,#NULL!,1,2,2,1,9.8,78,3,1,1,1,1,semua dapat,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,2000,2,tidak ada,1,1,1,1,1,1,Stunting
Chico Bracknell,37 Dwight Court,Alabama,United States,3.60E+15,159,49,2,38,3,1,2,1,2,3000000,1,25,1,2,Chico Bracknell,16,1,1,2800,#NULL!,1,1,1,1,8.6,75,3,1,1,1,1,semua dapat,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,200,1,suntik,1,1,1,1,1,1,Tidak Stunting
Thane Bourgourd,2 Del Sol Trail,California,United States,3.60E+15,152,51,2,34,1,1,1,1,1,1000000,1,21,1,3,Thane Bourgourd,20,1,1,3500,55,2,2,1,1,10.2,99,3,2,1,1,1,semua dapat,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1000,1,suntik,1,1,1,1,1,1,Tidak Stunting
Nonnah Witchard,022 Village Trail,Texas,United States,3.60E+15,142,32,1,24,3,1,2,1,1,1500000,3,21,1,1,Nonnah Witchard,12,2,1,2700,47,2,2,2,2,7.9,72,3,1,1,1,1,semua dapat,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1000,2,tidak ada,1,1,1,1,2,1,Tidak Stunting
Leighton Lake,6 Karstens Center,Pennsylvania,United States,3.60E+15,145,45,2,30,4,2,3,1,1,1500000,1,25,1,2,Leighton Lake,7,1,1,#NULL!,#NULL!,2,2,2,1,7.4,76,3,1,2,1,1,semua dapat,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,200,1,suntik,1,1,1,1,1,1,Tidak Stunting
Kelsey Cordero,6258 Kipling Plaza,Florida,United States,3.60E+15,157,65,3,30,3,1,3,1,1,2000000,1,20,1,2,Kelsey Cordero,12,1,1,4300,51,1,1,1,1,9.4,77,3,2,1,1,2,semua dapat,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,200,2,tidak ada,1,1,1,1,1,1,Tidak Stunting
Raphael Roney,263 High Crossing Junction,Texas,United States,3.60E+15,145,54,2,35,1,1,2,1,2,4000000,1,20,1,4,Raphael Roney,12,2,1,3200,#NULL!,2,2,1,1,7.5,70,3,1,1,1,2,semua dapat,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,200,2,tidak ada,1,1,1,1,2,1,Tidak Stunting
Aldus Cutten,5327 Summit Street,Wisconsin,United States,3.60E+15,149,51,2,44,1,1,3,1,1,2000000,1,16,1,4,Aldus Cutten,23,2,1,3300,#NULL!,1,1,1,1,8.7,80,2,1,1,1,1,semua dapat,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,200,1,implan,1,1,1,1,1,1,Tidak Stunting
Benton Flitcroft,5726 Mayfield Junction,Florida,United States,3.60E+15,152,37,1,28,1,1,2,1,1,200000,1,24,1,2,Benton Flitcroft,20,2,1,3300,#NULL!,2,2,2,1,9,76,3,2,1,1,1,semua dapat,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,500,2,tidak ada,2,1,1,1,1,1,Stunting
Romain Lacknor,32 Mesta Alley,Illinois,United States,3.60E+15,141,49,2,26,1,1,1,1,1,2000000,1,20,1,2,Romain Lacknor,4,2,1,2000,46,2,2,2,2,5,56,2,1,2,2,2,tidak dapat,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,200,1,suntik,1,1,1,1,1,1,Tidak Stunting
Spencer Dorset,8610 Buell Terrace,Colorado,United States,3.60E+15,146,44,2,19,2,1,2,1,1,500000,1,17,1,1,Spencer Dorset,18,1,1,2400,46,1,1,1,1,7,75,1,1,1,1,1,semua dapat,1,2,1,2,1,2,2,1,1,1,1,2,1,2,2,1,2,1,2,1,1,200,1,suntik,1,1,1,1,2,1,Stunting
Adair Bonsul,4471 Washington Road,Illinois,United States,3.60E+15,150,48,2,30,2,1,3,1,2,3000000,1,27,1,2,Adair Bonsul,2,2,1,3500,48,1,2,1,2,5,56,3,2,2,2,2,tidak dapat,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1000,1,suntik,1,1,1,1,2,2,Tidak Stunting
Julianne Episcopio,2336 Esch Avenue,Oklahoma,United States,3.60E+15,154,56,2,25,3,1,1,1,1,1000000,1,21,1,2,Julianne Episcopio,16,1,1,3400,51,2,1,1,2,9,73,3,1,1,1,2,semua dapat,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1000,1,suntik,1,1,1,1,1,1,Stunting
Frankie Gaylard,10125 Nelson Road,Pennsylvania,United States,3.60E+15,152,57,2,28,2,1,2,1,1,2000000,1,17,6,6,Frankie Gaylard,20,1,1,3100,49,2,1,1,1,10,75,3,1,1,1,1,semua dapat,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1000,2,tidak ada,1,1,1,1,1,1,Stunting
Dorena Dell,58 Mariners Cove Parkway,Oklahoma,United States,3.60E+15,148,58,3,24,2,1,1,1,1,1000000,1,21,1,1,Dorena Dell,20,1,1,3500,48,2,2,1,1,11,75,3,2,2,1,2,semua dapat,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1000,2,tidak ada,1,1,1,1,1,1,Stunting
Ambros Monkman,323 Oriole Center,Pennsylvania,United States,3.60E+15,149,69,3,43,1,1,1,1,1,1600000,1,14,1,9,Ambros Monkman,22,2,1,1500,#NULL!,2,2,1,1,9,75,3,2,1,1,1,semua dapat,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,250,1,steril,2,1,1,1,1,1,Stunting
Granny O' Gara,98709 Farragut Drive,Alabama,United States,3.60E+15,159,52,2,27,2,1,1,1,1,1000000,1,25,1,1,Granny O' Gara,16,2,1,3200,#NULL!,1,2,1,1,10,77,3,2,2,1,1,semua dapat,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,200,1,suntik,1,1,1,1,1,1,Tidak Stunting
Melly Patchett,9358 Dakota Trail,Mississippi,United States,3.60E+15,149,61,3,20,3,1,3,1,1,2000000,1,19,1,1,Melly Patchett,3,2,1,2800,49,1,2,1,2,5,52,3,2,1,2,2,tidak dapat,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,1,2,5000,2,tidak ada,1,1,1,1,1,2,Tidak Stunting
Sydel Allsop,6912 Muir Drive,Arkansas,United States,3.60E+15,150,67,3,39,1,1,1,1,1,2000000,1,18,1,3,Sydel Allsop,19,1,1,2500,#NULL!,2,2,2,1,10,78,3,2,1,1,1,semua dapat,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1000,1,pil,1,1,1,1,1,1,Stunting
Valentine Caser,62707 Paget Parkway,Michigan,United States,3.60E+15,139,46,2,41,3,1,3,1,1,1000000,1,19,1,5,Valentine Caser,11,1,1,2800,50,1,2,2,1,5,67,1,1,1,1,2,semua dapat,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,200,1,suntik,1,1,1,1,1,2,Stunting
Larisa Lainton,1 Namekagon Road,Ohio,United States,3.60E+15,141,32,1,23,3,1,3,1,1,2000000,1,20,1,1,Larisa Lainton,20,2,1,3500,47,1,1,1,1,9,76,3,1,1,1,2,semua dapat,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1000,1,suntik,1,1,1,1,1,1,Tidak Stunting
Emilee Pogg,16183 Huxley Avenue,Louisiana,United States,3.60E+15,155,47,2,23,2,1,3,1,1,2000000,1,18,1,1,Emilee Pogg,4,1,1,2800,49,1,2,2,1,6,64,3,2,2,2,2,tidak dapat,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,500,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Adiana Chansonnau,6609 Onsgard Parkway,Wisconsin,United States,3.60E+15,140,42,2,33,2,1,2,1,1,1000000,1,15,1,3,Adiana Chansonnau,21,2,1,2500,45,1,1,1,1,7,70,1,1,1,1,1,semua dapat,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,500,1,Suntik 1  ,1,1,1,1,1,1,Stunting
Ewart Greydon,3 Oneill Avenue,Louisiana,United States,3.60E+15,155,49,2,24,3,1,3,1,1,2500000,1,22,1,1,Ewart Greydon,16,1,1,2500,48,1,2,2,1,9,75,3,2,1,1,2,semua dapat,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,500,1,Suntik 3 ,1,1,1,1,2,1,Stunting
Richmond Dillon,398 Brown Hill,New York,United States,3.60E+15,152,50,2,28,2,1,3,1,2,3000000,1,19,1,2,Richmond Dillon,11,2,1,2700,#NULL!,1,2,2,2,7.4,72,2,2,1,1,1,Semua dapat,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,500,1,Suntik 3 ,1,1,1,1,1,2,Tidak Stunting
Raphael Tanswell,89432 Harper Road,Florida,United States,3.60E+15,156,50,2,26,4,2,3,1,2,3000000,1,20,1,2,Raphael Tanswell,7,1,1,2900,50,2,2,2,2,7.8,70,3,2,2,2,2,tidak dapat,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1000,2,tidak ada,1,3,3,1,1,1,Tidak Stunting
Blayne Haresnaip,93116 Stoughton Circle,Texas,United States,3.60E+15,152,55,2,26,4,1,3,1,1,2000000,1,25,1,1,Blayne Haresnaip,14,1,1,3200,49,1,2,2,1,8.8,74,3,1,1,1,1,semua dapat,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,500,1,suntik,1,1,1,2,1,1,Tidak Stunting
Eolande Warboy,54272 Lillian Lane,Florida,United States,3.60E+15,151,57,3,26,1,1,1,1,1,1200000,1,16,1,2,Eolande Warboy,14,1,1,2700,#NULL!,1,1,2,2,9.9,74,3,1,1,1,1,semua dapat,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,500,2,tidak ada,1,1,1,1,1,1,Tidak Stunting
Aimee Itskovitz,67483 Forest Dale Lane,Georgia,United States,3.60E+15,141,42,2,20,2,1,1,1,1,1000000,1,18,1,1,Aimee Itskovitz,4,1,1,2600,#NULL!,1,2,2,2,5,66,2,2,2,2,2,tidak dapat,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,600,1,suntik,1,1,1,2,1,1,Tidak Stunting
Brooks Koba,370 Calypso Plaza,Nevada,United States,3.60E+14,150,56,2,29,2,1,2,1,1,1200000,1,19,1,2,Brooks Koba,2,2,1,3450,50,1,2,1,2,6,60,3,1,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,500,2,,1,1,1,2,1,1,Tidak Stunting
Tonnie Nerger,4242 Crescent Oaks Lane,Texas,United States,#NULL!,141,54,2,20,2,1,1,1,1,500000,1,16,0,2,Tonnie Nerger,1.5,2,1,2400,47,1,1,1,1,3,52,1,1,#NULL!,#NULL!,#NULL!,,1,2,#NULL!,#NULL!,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,200,1,Suntik,2,1,1,1,2,1,Tidak Stunting
Maryellen Bethune,59870 Swallow Terrace,North Dakota,United States,#NULL!,153,45,2,19,2,1,1,1,1,1000000,1,18,0,1,Maryellen Bethune,23,1,2,2500,#NULL!,2,2,1,2,9,72,3,1,2,1,1,Dibagi rata,1,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,200,1,Implan,2,1,1,1,2,1,Stunting
Lenard Phillpotts,2022 Oak Valley Court,California,United States,3.60E+15,154,59,2,41,1,2,1,1,1,500000,1,18,0,3,Lenard Phillpotts,12,1,1,3000,47,2,2,2,2,7,72,2,1,2,1,1,Dibagi rata,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,1,1,200,1,Suntik,1,1,1,1,2,2,Tidak Stunting
Barnard Downe,67 Haas Terrace,Texas,United States,#NULL!,150,34,1,20,1,1,2,1,1,500000,1,18,0,1,Barnard Downe,12,1,1,3000,47,2,2,2,2,7,73,1,1,2,1,2,Dibagi rata,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1,200,1,Implan,2,1,1,1,2,2,Tidak Stunting
Aile Swindall,28204 Daystar Trail,Florida,United States,3.60E+14,162,55,2,30,1,1,#NULL!,#NULL!,1,500000,3,18,1,2,Aile Swindall,13,2,1,2910,48,2,2,2,2,10,75,3,1,2,1,1,Dibagi rata,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,200,2,,2,1,1,1,2,2,Tidak Stunting
Nikolaus Drinkel,30 Birchwood Alley,Illinois,United States,3.60E+16,148,51,2,42,0,1,1,1,1,1000000,1,17,1,4,Nikolaus Drinkel,16,1,1,2300,#NULL!,1,1,1,2,8,70,3,1,2,1,1,Dibagi rata,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,1,1,200,2,,1,1,1,11,2,1,Stunting
Chicky Wreakes,6 Utah Junction,California,United States,3.60E+15,151,50,2,40,1,1,1,1,1,500000,1,17,1,4,Chicky Wreakes,9,2,1,2900,47,1,2,1,2,8,65,3,2,2,1,1,Dibagi rata,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,1,200,1,Suntik,2,1,1,1,2,2,Tidak Stunting
Brian Trevers,6771 Prairie Rose Park,New Jersey,United States,#NULL!,158,64,3,28,1,1,1,1,1,300000,1,18,0,2,Brian Trevers,11,1,1,3900,49,1,2,1,2,10,72,3,1,2,1,1,Dibagi rata,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,200,1,Suntik,2,1,1,1,1,1,Tidak Stunting
Cortie Prenty,5 Elgar Pass,Texas,United States,3.60E+15,159,53,2,25,1,1,1,0,1,100000,1,20,1,2,Cortie Prenty,14,2,1,2800,#NULL!,1,2,2,2,7,71,3,2,2,1,2,Dibagi rata,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1,200,1,Pil,1,1,1,1,2,2,Tidak Stunting
Sydney Beauvais,1 Canary Pass,Florida,United States,3.60E+15,154,50,2,19,2,1,3,1,1,2000000,1,19,1,1,Sydney Beauvais,2,2,1,3300,#NULL!,1,2,2,2,5,64,1,1,2,2,#NULL!,,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,200,1,Suntik,1,1,1,1,2,2,Tidak Stunting
Wolfy MacCague,06243 Nova Center,Georgia,United States,3.60E+15,146,52,2,33,1,1,1,0,1,500000,1,17,1,3,Wolfy MacCague,14,2,1,3500,#NULL!,1,1,2,1,7.8,70,3,1,1,1,2,Dibagi rata,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,50,1,Suntik,2,1,1,1,2,1,Stunting
Stefanie Eicke,93 Di Loreto Way,Wisconsin,United States,#NULL!,153,44,2,20,2,1,1,1,1,900000,1,16,0,1,Stefanie Eicke,11,1,1,2200,#NULL!,2,2,2,2,8.3,72,3,1,1,1,1,Dibagi rata,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,200,2,,1,1,1,1,2,2,Tidak Stunting
Lemuel Sinnott,8 Reindahl Terrace,California,United States,3.28E+15,148,50,2,28,3,2,2,1,1,1000000,1,18,1,1,Lemuel Sinnott,4,1,1,4300,#NULL!,1,2,2,2,6.5,59,4,2,#NULL!,#NULL!,#NULL!,,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,200,1,Suntik,1,3,3,1,2,2,Stunting
Nate Carabine,82244 Pierstorff Way,New Hampshire,United States,#NULL!,153,75,3,27,2,1,1,1,1,1000000,1,19,1,2,Nate Carabine,19,1,1,4200,#NULL!,1,2,2,1,10.7,80,3,1,1,1,2,Dibagi rata,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,200,1,Suntik,2,1,1,1,2,1,Tidak Stunting
Hamilton McKane,57506 Riverside Junction,New York,United States,#NULL!,153,58,2,33,2,2,2,1,1,1200000,1,21,1,1,Hamilton McKane,22,2,1,2800,#NULL!,1,1,1,2,8.6,78,3,1,1,1,1,Dibagi rata,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,100,1,Implan,2,3,3,1,2,1,Stunting
Ulrike Laible,49 Chive Park,Alaska,United States,3.60E+15,156,69,3,31,2,1,3,1,1,1000000,1,21,1,2,Ulrike Laible,7,1,1,3500,49,1,2,1,2,9.4,68,3,1,1,1,1,Dibagi rata,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,50,1,Suntik,1,1,1,1,1,1,Tidak Stunting
Derwin Lamasna,7479 Kinsman Pass,Colorado,United States,3.60E+15,151,55,2,40,1,1,1,1,1,300000,1,18,1,4,Derwin Lamasna,10,1,2,3400,#NULL!,1,1,2,2,11,75,3,1,1,1,1,Dibagi rata,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,100,1,Implan,1,1,1,1,1,1,Tidak Stunting
Lorin Birnie,57450 Truax Point,California,United States,3.60E+16,162,51,2,40,1,1,1,1,1,500000,1,18,1,4,Lorin Birnie,20,2,1,#NULL!,#NULL!,1,2,2,2,10.5,80,3,1,1,1,1,Dibagi rata,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,100,1,Implan,1,1,1,1,1,1,Tidak Stunting
Augusta Blankley,865 Sage Street,West Virginia,United States,3.60E+14,153,45,2,18,2,1,3,1,2,2500000,3,16,0,1,Augusta Blankley,12,1,1,3700,50,1,2,1,2,10.4,74,3,1,2,1,2,Dibagi rat,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,200,2,,2,1,1,1,2,1,Tidak Stunting
Vaughan Racine,1 Colorado Place,Wisconsin,United States,3.60E+15,160,70,3,32,0,1,1,1,1,600000,1,21,1,2,Vaughan Racine,9,1,1,3300,#NULL!,1,2,1,2,8.4,70,3,2,1,1,2,Dibagi rata,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,Suntik,1,1,1,1,2,1,Tidak Stunting
Leyla Benezeit,6 Twin Pines Junction,Ohio,United States,3.60E+15,144,64,3,26,4,1,4,1,2,4000000,1,24,0,1,Leyla Benezeit,13,1,1,2800,49,1,2,2,2,9.3,75,3,1,1,1,1,Diabgi rata,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,100,1,Suntik,2,1,1,1,2,1,Tidak Stunting
Clifford Olekhov,39 Browning Way,Washington,United States,3.60E+15,151,48,2,35,3,2,3,1,1,2000000,1,24,1,#NULL!,Clifford Olekhov,18,2,1,2800,#NULL!,1,2,1,1,9,70,1,1,1,1,1,Diabgi rata,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,1,Suntik,1,1,7,1,2,1,Stunting
Darb Sixsmith,25 Johnson Plaza,New Mexico,United States,3.60E+15,154,60,3,35,2,1,2,0,1,1000000,1,20,1,3,Darb Sixsmith,18,1,1,#NULL!,#NULL!,1,1,1,2,9.6,78,3,2,1,1,1,Dibagi rata,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,100,1,MOW,1,1,1,1,2,1,Tidak Stunting
Quintus Thornber,9482 Everett Center,Virginia,United States,3.60E+15,152,48,2,29,3,2,2,1,1,1700000,1,18,1,2,Quintus Thornber,10,2,1,3500,#NULL!,1,2,1,1,9,71,3,1,1,1,2,Dibagi rata,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,100,1,Suntik,1,1,3,1,2,1,Tidak Stunting
Stern Calterone,1399 Luster Hill,New York,United States,3.22E+15,163,60,2,29,1,1,3,1,1,1000000,1,21,0,2,Stern Calterone,22,1,1,2800,#NULL!,2,1,1,2,10.4,80,3,1,1,1,1,Dibagi rata,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,100,1,Suntik,1,1,1,1,2,2,Tidak Stunting
Heinrick Caurah,219 Troy Alley,Virginia,United States,3.60E+15,154,50,2,32,1,1,1,1,1,500000,1,14,1,4,Heinrick Caurah,3,2,1,3000,50,1,2,2,2,6.3,60,3,1,2,2,2,Dibagi rata,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,200,2,,2,1,1,1,1,1,Tidak Stunting
